,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y
3054,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,1,0,0,0
3055,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,0,0,0,0
3056,Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,1,1,0,1
3057,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,1,0,0,1
3058,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,0,0,1,0
3059,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,0,0,0,1
3060,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,Married partner,0,High School Graduate,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,never,1~3,less1,less1,1,0,0,0
3061,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,0,0,0,1
3062,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,0,0,0,1
3063,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3064,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3065,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3066,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,1
3067,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,1
3068,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3069,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,1
3070,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3071,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,0,0,0,1
3072,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,1
3073,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3074,Home,Alone,Sunny,55,6PM,Bar,1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,0,0,1,1
3075,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3076,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,0,0,0,0
3077,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,1,0,0
3078,Work,Alone,Sunny,55,7AM,Bar,1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,1,0,0
3079,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,1
3080,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,0,0,1,0
3081,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,0,0,0,1
3082,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,1~3,less1,less1,1~3,1~3,1,0,0,0
3083,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3084,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3085,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3086,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3087,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3088,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3089,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3090,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3091,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3092,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3093,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3094,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3095,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3096,Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,1,1
3097,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3098,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3099,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,1,0,1
3100,Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,1,0,1
3101,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3102,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,1,1
3103,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,0,0,0,1
3104,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,1~3,1,0,0,1
3105,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,0,0,0,1
3106,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,0,0,0,1
3107,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,0
3108,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,0
3109,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,0
3110,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3111,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3112,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3113,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3114,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,0
3115,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,0,0,0,1
3116,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3117,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3118,Home,Alone,Sunny,55,6PM,Bar,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,0,0,1,0
3119,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3120,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,0,0,0,0
3121,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,1,0,1
3122,Work,Alone,Sunny,55,7AM,Bar,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,1,0,0
3123,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,0
3124,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,0,0,1,0
3125,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,0,0,0,0
3126,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,less1,less1,1,0,0,1
3127,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,1
3128,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,0
3129,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3130,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3131,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3132,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3133,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3134,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,1
3135,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,1
3136,No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,0
3137,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3138,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,1
3139,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3140,Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,1,1
3141,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3142,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,0
3143,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,1,0,0
3144,Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,1,0,1
3145,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,1
3146,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,1,1
3147,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,0,0,0,1
3148,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,1~3,gt8,less1,1,0,0,0
3149,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,1
3150,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,1
3151,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,0
3152,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,1
3153,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,1
3154,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,0
3155,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,1
3156,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,1
3157,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,0
3158,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,1
3159,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,0
3160,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,1
3161,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,1
3162,Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,1,0
3163,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,0
3164,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,0
3165,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,1,0,0
3166,Work,Alone,Sunny,55,7AM,Bar,1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,1,0,0
3167,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,1
3168,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,1,1
3169,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,1
3170,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,0
3171,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,0,0,0,1
3172,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,0,0,0,1
3173,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3174,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3175,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3176,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3177,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3178,Home,Alone,Sunny,55,6PM,Bar,1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,0,0,1,1
3179,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3180,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,0,0,0,1
3181,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,1,0,0
3182,Work,Alone,Sunny,55,7AM,Bar,1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,1,0,0
3183,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3184,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,0,0,1,1
3185,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,0,0,0,1
3186,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,less1,4~8,1~3,1~3,less1,1,0,0,0
3187,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,0,0,0,1
3188,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,0,0,0,1
3189,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,1
3190,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,0
3191,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,0
3192,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,0
3193,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,1
3194,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,0
3195,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,0
3196,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,1,0,0,0
3197,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,0,0,0,1
